Area_Name,Year,Subgroup,Rape_Cases_Reported,Victims_Above_50_Yrs,Victims_Between_10-14_Yrs,Victims_Between_14-18_Yrs,Victims_Between_18-30_Yrs,Victims_Between_30-50_Yrs,Victims_of_Rape_Total,Victims_Upto_10_Yrs
ANDAMAN & NICOBAR ISLANDS,2010,Victims of Incest Rape,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2010,Victims of Incest Rape,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2010,Victims of Incest Rape,0,0,0,0,0,0,0,0
ASSAM,2010,Victims of Incest Rape,13,0,0,0,10,3,13,0
BIHAR,2010,Victims of Incest Rape,2,0,1,0,0,0,2,1
CHANDIGARH,2010,Victims of Incest Rape,0,0,0,0,0,0,0,0
CHHATTISGARH,2010,Victims of Incest Rape,21,0,2,3,13,3,21,0
DADRA & NAGAR HAVELI,2010,Victims of Incest Rape,0,0,0,0,0,0,0,0
DAMAN & DIU,2010,Victims of Incest Rape,0,0,0,0,0,0,0,0
DELHI,2010,Victims of Incest Rape,21,0,11,3,1,0,21,6
GOA,2010,Victims of Incest Rape,2,0,0,2,0,0,2,0
GUJARAT,2010,Victims of Incest Rape,4,0,0,2,1,0,4,1
HARYANA,2010,Victims of Incest Rape,15,0,1,1,11,2,15,0
HIMACHAL PRADESH,2010,Victims of Incest Rape,7,1,3,2,1,0,7,0
JAMMU & KASHMIR,2010,Victims of Incest Rape,0,0,0,0,0,0,0,0
JHARKHAND,2010,Victims of Incest Rape,11,0,0,0,10,1,11,0
KARNATAKA,2010,Victims of Incest Rape,2,0,0,0,2,0,2,0
KERALA,2010,Victims of Incest Rape,14,0,5,2,2,0,14,5
LAKSHADWEEP,2010,Victims of Incest Rape,0,0,0,0,0,0,0,0
MADHYA PRADESH,2010,Victims of Incest Rape,21,0,1,10,4,4,21,2
MAHARASHTRA,2010,Victims of Incest Rape,44,0,8,13,18,1,44,4
MANIPUR,2010,Victims of Incest Rape,0,0,0,0,0,0,0,0
MEGHALAYA,2010,Victims of Incest Rape,8,0,4,1,1,0,8,2
MIZORAM,2010,Victims of Incest Rape,3,0,0,1,0,0,3,2
NAGALAND,2010,Victims of Incest Rape,1,0,0,1,0,0,1,0
ODISHA,2010,Victims of Incest Rape,37,0,12,21,2,0,37,2
PUDUCHERRY,2010,Victims of Incest Rape,0,0,0,0,0,0,0,0
PUNJAB,2010,Victims of Incest Rape,17,0,4,7,5,0,17,1
RAJASTHAN,2010,Victims of Incest Rape,24,0,2,6,10,4,24,2
SIKKIM,2010,Victims of Incest Rape,2,0,1,0,0,0,2,1
TAMIL NADU,2010,Victims of Incest Rape,0,0,0,0,0,0,0,0
TRIPURA,2010,Victims of Incest Rape,0,0,0,0,0,0,0,0
UTTAR PRADESH,2010,Victims of Incest Rape,4,0,1,2,1,0,4,0
UTTARAKHAND,2010,Victims of Incest Rape,11,0,2,2,5,1,11,1
WEST BENGAL,2010,Victims of Incest Rape,4,0,1,0,2,1,4,0
